"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"42s-blockchain-api";"42-bc-api";"172.19.60.1|192.168.254.121|fe80::250:56ff:feae:7cbc";"2";"2";"100";;;"";"42-sol";"МТ";"";"PoweredOn";""
"atl-rds-ts-02";"ts02.gw-ad.local";"";"32";"84";;"360";;"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"blg-firewall-01";"ROS-KVR-FIREWALL_DOBROGRAD-1";"172.19.251.25|185.189.19.252";"2";"4";;;"0,125";"";"СЗ Доброград";"СЗД";"Firewall";"PoweredOn";""
"ltv-blockchain-api";"ltv-bc-api";"192.168.255.17|fe80::250:56ff:feae:8bad";"2";"2";;"100";;"";"Литвуд";"ЛН";"Blockchain";"PoweredOn";""
"42s-blockchain-node";"42-bc-node";"185.189.16.164|192.168.254.122";"4";"4";"200";;;"";"42-sol";"МТ";"";"PoweredOn";""
"aisi-ws-02";"aisi-ws-02.gw-ad.local";"172.19.27.19|fe80::e431:490e:51ee:7bf0";"2";"4";"200";;;"";"АйСи";"ТДД";"IT-WS";"PoweredOn";""
"atl-it-ws-shupletsovmv";"atl-it-win10.gw-ad.local";"";"2";"8";;;"200";"";"";"";"";"PoweredOff";"Шуплецов"
"atl-radius-radius-guest-01";;"";"1";"0,5";;"20";;"";"АТЛАНТА";"К";"Radius";"PoweredOff";"SmetaninAV"
"aici-blockchain-api";"aici-bc-api";"172.20.0.1|fe80::42:deff:fef9:fbe2|192.168.254.212|fe80::250:56ff:feae:9f5";"2";"2";;"100";;"";"АйСи";"ТДД";"Blockchain";"PoweredOn";""
"ltv-1c-web";"1c-web-mc.gw-ad.local";"192.168.254.63";"4";"12";;"100";;"";"Литвуд";"ЛН";"";"PoweredOn";""
"ltv-sp-ts-center";"sp-ts-center.gw-ad.local";"192.168.254.178";"8";"24";;;"700";"";"Литвуд";"ЛН";"";"PoweredOn";""
"atl-rds-ts-09-oof";;"";"16";"68";"580";;;"";"АТЛАНТА";"К";"RDS";"PoweredOn";"SmetaninAV"
"vcsa-OMA";"vcsa-oma";"192.168.254.197|fe80::250:56ff:feae:df4";"8";"32";"274";;;"";"АТЛАНТА";"К";"VCSA";"PoweredOn";""
"vchv-composer-01";"vchv-composer.gw-ad.local";"192.168.254.24";"4";"8";"100";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-idirectum";"iDirectum.gw-ad.local";"192.168.254.43";"9";"10";;"127,001953125";;"";"АТЛАНТА";"К";"Directum";"PoweredOn";"SmetaninAV"
"atl-1c-mssql-work02";"srv-mssql1c-02.gw-ad.local";"192.168.254.98|fe80::5918:57ab:e106:a603";"16";"32";"2400";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-test-win10-1703-v3";;"";"2";"6";;"100";;"";"АТЛАНТА";"К";"";"PoweredOff";""
"atl-test-win10-1703";;"";"4";"8";;"100";;"";"АТЛАНТА";"К";"";"PoweredOff";""
"atl-it-ws-rss";"sit-rssergey.gw-ad.local";"";"4";"8";;;"200";"";"";"";"";"PoweredOff";"RozhdestvenskySS"
"ltv-ssl-blockchain-api-01";"blockchainapi";"192.168.254.96|fe80::250:56ff:fe85:628|172.19.60.1|fe80::42:3eff:feea:25e8";"2";"2";;"100";;"";"Литвуд";"ЛН";"Blockchain";"PoweredOn";""
"host-ask-ha-01n";"HostHA01";"185.189.16.37|185.189.16.36|fe80::250:56ff:fe9e:4d19|192.168.11.1|fe80::250:56ff:fe9e:4e28";"12";"16";;"1431,26660060883";;"";"ТД Аскона";"ТДА-ОПТ";"Web-HA";"PoweredOn";""
"atl-directum";"hcdir.gw-ad.local";"192.168.254.40";"4";"8";;"200";;"";"АТЛАНТА";"К";"Directum";"PoweredOn";"SmetaninAV"
"atl-dhcp-02";"atl-dhcp-02.gw-ad.local";"192.168.254.16";"2";"8";"100";;;"";"АТЛАНТА";"К";"DHCP";"PoweredOn";""
"atl-1c-hasp-08";"hasp08.gw-ad.local";"192.168.254.78";"4";"2";;;"200";"";"АТЛАНТА";"К";"1C hasp";"PoweredOn";"SmetaninAV"
"HostDobrograd_dev_new";"hotsdobrograd.gw-ad.local";"185.189.16.34|fe80::250:56ff:fe85:5402";"6";"8";;"250";;"";"Курорт Доброград";"АТ";"Web";"PoweredOn";""
"host-ask-web-01n";"host-ask-web-01n";"172.19.180.101|fe80::250:56ff:fe85:a7f6|10.0.0.11|fe80::250:56ff:fe85:f9f9";"32";"52";"250";;;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"Host_hoff_litwood";"host-hoff";"";"2";"4";;"19,578125";;"";"Литвуд";"ЛН";"Web";"PoweredOff";""
"host-MK-Stolica-02";"medsettings";"185.189.18.12|fe80::250:56ff:feae:4157|172.19.0.1|fe80::42:ccff:fe7c:3cbd";"4";"4";;;"100";"";"МК Столица";"МКС";"";"PoweredOn";""
